property_id,check_in_date,room_category,successful_bookings,capacity,occ_rate
18561,2022-05-02,RT3,18,25.0,72.0
18558,2022-05-02,RT3,15,26.0,57.69
16561,2022-05-02,RT3,13,21.0,61.9
16563,2022-05-02,RT3,13,20.0,65.0
17560,2022-05-02,RT3,13,25.0,52.0
18560,2022-05-02,RT3,14,24.0,58.33
17559,2022-05-02,RT3,9,16.0,56.25
17563,2022-05-02,RT3,9,16.0,56.25
18559,2022-05-02,RT3,9,23.0,39.13
19558,2022-05-02,RT3,9,21.0,42.86
17564,2022-05-02,RT3,9,24.0,37.5
16560,2022-05-02,RT3,10,20.0,50.0
17561,2022-05-02,RT3,10,19.0,52.63
16562,2022-05-02,RT3,11,18.0,61.11
18563,2022-05-02,RT3,11,23.0,47.83
19560,2022-05-02,RT3,11,19.0,57.89
19559,2022-05-02,RT4,2,3.0,66.67
16558,2022-05-02,RT4,2,3.0,66.67
17558,2022-05-02,RT4,4,6.0,66.67
19563,2022-05-02,RT4,4,6.0,66.67
19558,2022-05-02,RT4,4,7.0,57.14
19561,2022-05-02,RT4,4,7.0,57.14
18561,2022-05-02,RT4,5,9.0,55.56
16561,2022-05-02,RT4,6,10.0,60.0
17560,2022-05-02,RT4,6,13.0,46.15
17564,2022-05-02,RT4,6,17.0,35.29
18560,2022-05-02,RT4,11,15.0,73.33
19560,2022-05-02,RT4,11,16.0,68.75
18559,2022-05-02,RT4,9,19.0,47.37
17563,2022-05-02,RT4,12,19.0,63.16
19562,2022-05-02,RT4,8,14.0,57.14
17559,2022-05-02,RT4,8,14.0,57.14
18558,2022-05-02,RT4,10,20.0,50.0
18562,2022-05-02,RT4,12,20.0,60.0
18563,2022-05-02,RT4,11,18.0,61.11
16563,2022-05-02,RT4,12,18.0,66.67
16559,2022-05-02,RT4,12,18.0,66.67
16562,2022-05-02,RT4,3,6.0,50.0
17562,2022-05-02,RT4,3,6.0,50.0
16560,2022-05-02,RT4,3,7.0,42.86
17561,2022-05-02,RT4,3,4.0,75.0
19563,2022-05-03,RT3,15,29.0,51.72
16559,2022-05-03,RT1,17,30.0,56.67
18560,2022-05-03,RT1,19,30.0,63.33
19562,2022-05-03,RT1,19,30.0,63.33
19563,2022-05-03,RT1,15,30.0,50.0
17558,2022-05-03,RT1,9,19.0,47.37
16558,2022-05-03,RT1,14,19.0,73.68
17560,2022-05-03,RT1,19,40.0,47.5
19558,2022-05-03,RT1,20,40.0,50.0
19560,2022-05-03,RT1,14,26.0,53.85
17561,2022-05-03,RT1,16,26.0,61.54
16560,2022-05-03,RT1,19,34.0,55.88
16561,2022-05-03,RT1,10,18.0,55.56
16562,2022-05-03,RT1,14,31.0,45.16
16563,2022-05-03,RT1,25,41.0,60.98
17559,2022-05-03,RT1,20,32.0,62.5
17562,2022-05-03,RT1,10,20.0,50.0
17563,2022-05-03,RT1,16,25.0,64.0
18558,2022-05-03,RT1,8,15.0,53.33
18559,2022-05-03,RT1,18,42.0,42.86
18561,2022-05-03,RT1,19,33.0,57.58
18562,2022-05-03,RT1,23,38.0,60.53
18563,2022-05-03,RT1,13,27.0,48.15
19559,2022-05-03,RT1,12,24.0,50.0
19561,2022-05-03,RT1,20,36.0,55.56
17564,2022-05-03,RT1,6,16.0,37.5
19562,2022-05-03,RT2,14,23.0,60.87
18563,2022-05-03,RT2,14,29.0,48.28
17561,2022-05-03,RT2,23,36.0,63.89
17558,2022-05-03,RT2,26,50.0,52.0
16562,2022-05-03,RT2,19,43.0,44.19
16561,2022-05-03,RT2,16,24.0,66.67
16558,2022-05-03,RT2,14,22.0,63.64
19560,2022-05-03,RT2,25,38.0,65.79
16563,2022-05-03,RT2,24,38.0,63.16
16559,2022-05-03,RT2,26,41.0,63.41
19559,2022-05-03,RT2,22,41.0,53.66
19558,2022-05-03,RT2,16,39.0,41.03
17559,2022-05-03,RT2,24,39.0,61.54
16560,2022-05-03,RT2,16,34.0,47.06
18562,2022-05-03,RT2,22,34.0,64.71
18559,2022-05-03,RT2,19,44.0,43.18
17563,2022-05-03,RT2,30,44.0,68.18
17562,2022-05-03,RT2,15,30.0,50.0
18558,2022-05-03,RT2,16,30.0,53.33
17564,2022-05-03,RT2,16,40.0,40.0
18561,2022-05-03,RT2,25,40.0,62.5
18560,2022-05-03,RT2,25,40.0,62.5
17560,2022-05-03,RT2,22,45.0,48.89
19561,2022-05-03,RT2,21,45.0,46.67
19563,2022-05-03,RT2,23,45.0,51.11
19562,2022-05-03,RT3,18,29.0,62.07
19561,2022-05-03,RT3,14,29.0,48.28
18562,2022-05-03,RT3,17,29.0,58.62
17558,2022-05-03,RT3,15,27.0,55.56
17562,2022-05-03,RT3,12,27.0,44.44
19559,2022-05-03,RT3,14,27.0,51.85
16559,2022-05-03,RT3,21,32.0,65.62
16558,2022-05-03,RT3,5,8.0,62.5
18561,2022-05-03,RT3,15,25.0,60.0
18560,2022-05-03,RT3,15,24.0,62.5
16562,2022-05-03,RT3,8,18.0,44.44
16561,2022-05-03,RT3,13,21.0,61.9
16563,2022-05-03,RT3,13,20.0,65.0
18558,2022-05-03,RT3,13,26.0,50.0
18559,2022-05-03,RT3,9,23.0,39.13
19558,2022-05-03,RT3,9,21.0,42.86
16560,2022-05-03,RT3,10,20.0,50.0
17559,2022-05-03,RT3,10,16.0,62.5
17563,2022-05-03,RT3,10,16.0,62.5
17561,2022-05-03,RT3,12,19.0,63.16
19560,2022-05-03,RT3,12,19.0,63.16
17560,2022-05-03,RT3,11,25.0,44.0
18563,2022-05-03,RT3,11,23.0,47.83
17564,2022-05-03,RT3,11,24.0,45.83
17562,2022-05-03,RT4,2,6.0,33.33
16558,2022-05-03,RT4,2,3.0,66.67
19563,2022-05-03,RT4,4,6.0,66.67
19561,2022-05-03,RT4,4,7.0,57.14
18561,2022-05-03,RT4,5,9.0,55.56
16561,2022-05-03,RT4,7,10.0,70.0
17560,2022-05-03,RT4,7,13.0,53.85
19559,2022-05-03,RT4,1,3.0,33.33
17564,2022-05-03,RT4,7,17.0,41.18
18560,2022-05-03,RT4,9,15.0,60.0
19560,2022-05-03,RT4,10,16.0,62.5
18559,2022-05-03,RT4,9,19.0,47.37
17563,2022-05-03,RT4,11,19.0,57.89
19562,2022-05-03,RT4,9,14.0,64.29
17559,2022-05-03,RT4,10,14.0,71.43
18558,2022-05-03,RT4,10,20.0,50.0
18562,2022-05-03,RT4,12,20.0,60.0
18563,2022-05-03,RT4,8,18.0,44.44
16563,2022-05-03,RT4,11,18.0,61.11
16559,2022-05-03,RT4,11,18.0,61.11
16562,2022-05-03,RT4,3,6.0,50.0
17558,2022-05-03,RT4,3,6.0,50.0
16560,2022-05-03,RT4,3,7.0,42.86
19558,2022-05-03,RT4,3,7.0,42.86
17561,2022-05-03,RT4,3,4.0,75.0
19563,2022-05-04,RT3,15,29.0,51.72
18560,2022-05-04,RT1,20,30.0,66.67
19562,2022-05-04,RT1,17,30.0,56.67
19563,2022-05-04,RT1,14,30.0,46.67
17558,2022-05-04,RT1,9,19.0,47.37
16558,2022-05-04,RT1,13,19.0,68.42
17560,2022-05-04,RT1,22,40.0,55.0
19558,2022-05-04,RT1,15,40.0,37.5
19560,2022-05-04,RT1,16,26.0,61.54
17561,2022-05-04,RT1,15,26.0,57.69
16560,2022-05-04,RT1,17,34.0,50.0
16561,2022-05-04,RT1,11,18.0,61.11
16562,2022-05-04,RT1,16,31.0,51.61
16563,2022-05-04,RT1,28,41.0,68.29
17559,2022-05-04,RT1,19,32.0,59.38
17562,2022-05-04,RT1,9,20.0,45.0
17563,2022-05-04,RT1,16,25.0,64.0
18558,2022-05-04,RT1,7,15.0,46.67
18559,2022-05-04,RT1,18,42.0,42.86
18561,2022-05-04,RT1,22,33.0,66.67
18562,2022-05-04,RT1,25,38.0,65.79
18563,2022-05-04,RT1,16,27.0,59.26
19559,2022-05-04,RT1,12,24.0,50.0
19561,2022-05-04,RT1,16,36.0,44.44
17564,2022-05-04,RT1,7,16.0,43.75
19562,2022-05-04,RT2,14,23.0,60.87
18563,2022-05-04,RT2,16,29.0,55.17
17561,2022-05-04,RT2,21,36.0,58.33
17558,2022-05-04,RT2,27,50.0,54.0
16562,2022-05-04,RT2,21,43.0,48.84
16561,2022-05-04,RT2,15,24.0,62.5
16558,2022-05-04,RT2,14,22.0,63.64
19560,2022-05-04,RT2,21,38.0,55.26
16563,2022-05-04,RT2,23,38.0,60.53
16559,2022-05-04,RT2,28,41.0,68.29
19559,2022-05-04,RT2,22,41.0,53.66
19558,2022-05-04,RT2,18,39.0,46.15
17559,2022-05-04,RT2,23,39.0,58.97
16560,2022-05-04,RT2,20,34.0,58.82
18562,2022-05-04,RT2,22,34.0,64.71
18559,2022-05-04,RT2,19,44.0,43.18
17563,2022-05-04,RT2,29,44.0,65.91
17562,2022-05-04,RT2,11,30.0,36.67
18558,2022-05-04,RT2,16,30.0,53.33
17564,2022-05-04,RT2,18,40.0,45.0
18561,2022-05-04,RT2,25,40.0,62.5
18560,2022-05-04,RT2,28,40.0,70.0
17560,2022-05-04,RT2,20,45.0,44.44
19561,2022-05-04,RT2,21,45.0,46.67
19563,2022-05-04,RT2,20,45.0,44.44
16559,2022-05-04,RT1,21,30.0,70.0
19562,2022-05-04,RT3,20,29.0,68.97
19561,2022-05-04,RT3,13,29.0,44.83
18562,2022-05-04,RT3,16,29.0,55.17
17558,2022-05-04,RT3,12,27.0,44.44
17562,2022-05-04,RT3,9,27.0,33.33
19559,2022-05-04,RT3,14,27.0,51.85
16559,2022-05-04,RT3,19,32.0,59.38
16558,2022-05-04,RT3,6,8.0,75.0
18561,2022-05-04,RT3,16,25.0,64.0
18560,2022-05-04,RT3,17,24.0,70.83
17563,2022-05-04,RT3,8,16.0,50.0
17564,2022-05-04,RT3,8,24.0,33.33
16561,2022-05-04,RT3,14,21.0,66.67
17560,2022-05-04,RT3,14,25.0,56.0
18558,2022-05-04,RT3,14,26.0,53.85
19558,2022-05-04,RT3,9,21.0,42.86
16560,2022-05-04,RT3,10,20.0,50.0
17561,2022-05-04,RT3,10,19.0,52.63
18559,2022-05-04,RT3,10,23.0,43.48
16563,2022-05-04,RT3,12,20.0,60.0
17559,2022-05-04,RT3,12,16.0,75.0
16562,2022-05-04,RT3,11,18.0,61.11
18563,2022-05-04,RT3,11,23.0,47.83
19560,2022-05-04,RT3,11,19.0,57.89
17562,2022-05-04,RT4,2,6.0,33.33
19559,2022-05-04,RT4,2,3.0,66.67
16558,2022-05-04,RT4,2,3.0,66.67
18561,2022-05-04,RT4,4,9.0,44.44
16561,2022-05-04,RT4,5,10.0,50.0
17560,2022-05-04,RT4,6,13.0,46.15
17564,2022-05-04,RT4,9,17.0,52.94
18560,2022-05-04,RT4,10,15.0,66.67
19560,2022-05-04,RT4,11,16.0,68.75
18559,2022-05-04,RT4,8,19.0,42.11
17563,2022-05-04,RT4,11,19.0,57.89
19562,2022-05-04,RT4,8,14.0,57.14
17559,2022-05-04,RT4,9,14.0,64.29
18558,2022-05-04,RT4,11,20.0,55.0
18562,2022-05-04,RT4,12,20.0,60.0
18563,2022-05-04,RT4,8,18.0,44.44
16563,2022-05-04,RT4,12,18.0,66.67
16559,2022-05-04,RT4,11,18.0,61.11
16562,2022-05-04,RT4,3,6.0,50.0
17558,2022-05-04,RT4,3,6.0,50.0
19563,2022-05-04,RT4,3,6.0,50.0
16560,2022-05-04,RT4,3,7.0,42.86
19558,2022-05-04,RT4,3,7.0,42.86
19561,2022-05-04,RT4,3,7.0,42.86
17561,2022-05-04,RT4,3,4.0,75.0
16559,2022-05-05,RT1,16,30.0,53.33
18560,2022-05-05,RT1,15,30.0,50.0
19562,2022-05-05,RT1,19,30.0,63.33
19563,2022-05-05,RT1,14,30.0,46.67
17558,2022-05-05,RT1,10,19.0,52.63
16558,2022-05-05,RT1,12,19.0,63.16
17560,2022-05-05,RT1,20,40.0,50.0
19558,2022-05-05,RT1,18,40.0,45.0
19560,2022-05-05,RT1,18,26.0,69.23
17561,2022-05-05,RT1,15,26.0,57.69
16560,2022-05-05,RT1,17,34.0,50.0
16561,2022-05-05,RT1,13,18.0,72.22
16562,2022-05-05,RT1,15,31.0,48.39
16563,2022-05-05,RT1,30,41.0,73.17
17559,2022-05-05,RT1,21,32.0,65.62
17562,2022-05-05,RT1,8,20.0,40.0
17563,2022-05-05,RT1,18,25.0,72.0
18558,2022-05-05,RT1,8,15.0,53.33
18559,2022-05-05,RT1,16,42.0,38.1
18561,2022-05-05,RT1,25,33.0,75.76
18562,2022-05-05,RT1,24,38.0,63.16
18563,2022-05-05,RT1,14,27.0,51.85
19559,2022-05-05,RT1,13,24.0,54.17
19561,2022-05-05,RT1,17,36.0,47.22
17564,2022-05-05,RT1,6,16.0,37.5
19562,2022-05-05,RT2,15,23.0,65.22
18563,2022-05-05,RT2,14,29.0,48.28
17561,2022-05-05,RT2,25,36.0,69.44
17558,2022-05-05,RT2,29,50.0,58.0
16562,2022-05-05,RT2,20,43.0,46.51
16561,2022-05-05,RT2,15,24.0,62.5
16558,2022-05-05,RT2,13,22.0,59.09
19560,2022-05-05,RT2,27,38.0,71.05
16563,2022-05-05,RT2,25,38.0,65.79
16559,2022-05-05,RT2,24,41.0,58.54
19559,2022-05-05,RT2,23,41.0,56.1
19558,2022-05-05,RT2,20,39.0,51.28
17559,2022-05-05,RT2,26,39.0,66.67
16560,2022-05-05,RT2,19,34.0,55.88
18562,2022-05-05,RT2,22,34.0,64.71
18559,2022-05-05,RT2,22,44.0,50.0
17563,2022-05-05,RT2,28,44.0,63.64
17562,2022-05-05,RT2,13,30.0,43.33
18558,2022-05-05,RT2,15,30.0,50.0
17564,2022-05-05,RT2,18,40.0,45.0
18561,2022-05-05,RT2,26,40.0,65.0
18560,2022-05-05,RT2,26,40.0,65.0
17560,2022-05-05,RT2,20,45.0,44.44
19561,2022-05-05,RT2,21,45.0,46.67
19563,2022-05-05,RT2,22,45.0,48.89
19563,2022-05-05,RT3,14,29.0,48.28
19562,2022-05-05,RT3,19,29.0,65.52
19561,2022-05-05,RT3,14,29.0,48.28
18562,2022-05-05,RT3,18,29.0,62.07
17558,2022-05-05,RT3,14,27.0,51.85
17562,2022-05-05,RT3,11,27.0,40.74
19559,2022-05-05,RT3,14,27.0,51.85
16559,2022-05-05,RT3,20,32.0,62.5
16558,2022-05-05,RT3,4,8.0,50.0
18561,2022-05-05,RT3,15,25.0,60.0
18560,2022-05-05,RT3,16,24.0,66.67
17560,2022-05-05,RT3,13,25.0,52.0
16563,2022-05-05,RT3,14,20.0,70.0
16562,2022-05-05,RT3,9,18.0,50.0
19558,2022-05-05,RT3,9,21.0,42.86
16560,2022-05-05,RT3,10,20.0,50.0
17559,2022-05-05,RT3,10,16.0,62.5
17563,2022-05-05,RT3,10,16.0,62.5
18559,2022-05-05,RT3,10,23.0,43.48
16561,2022-05-05,RT3,12,21.0,57.14
18558,2022-05-05,RT3,12,26.0,46.15
19560,2022-05-05,RT3,12,19.0,63.16
17564,2022-05-05,RT3,12,24.0,50.0
17561,2022-05-05,RT3,11,19.0,57.89
18563,2022-05-05,RT3,11,23.0,47.83
19559,2022-05-05,RT4,2,3.0,66.67
16558,2022-05-05,RT4,2,3.0,66.67
16560,2022-05-05,RT4,4,7.0,57.14
19561,2022-05-05,RT4,4,7.0,57.14
18561,2022-05-05,RT4,5,9.0,55.56
16561,2022-05-05,RT4,6,10.0,60.0
17560,2022-05-05,RT4,6,13.0,46.15
17564,2022-05-05,RT4,7,17.0,41.18
18560,2022-05-05,RT4,10,15.0,66.67
19560,2022-05-05,RT4,10,16.0,62.5
18559,2022-05-05,RT4,8,19.0,42.11
17563,2022-05-05,RT4,12,19.0,63.16
19562,2022-05-05,RT4,9,14.0,64.29
17559,2022-05-05,RT4,8,14.0,57.14
18558,2022-05-05,RT4,11,20.0,55.0
18562,2022-05-05,RT4,12,20.0,60.0
18563,2022-05-05,RT4,10,18.0,55.56
16563,2022-05-05,RT4,12,18.0,66.67
16559,2022-05-05,RT4,13,18.0,72.22
16562,2022-05-05,RT4,3,6.0,50.0
17558,2022-05-05,RT4,3,6.0,50.0
17562,2022-05-05,RT4,3,6.0,50.0
19563,2022-05-05,RT4,3,6.0,50.0
19558,2022-05-05,RT4,3,7.0,42.86
17561,2022-05-05,RT4,3,4.0,75.0
16559,2022-05-06,RT1,21,30.0,70.0
18560,2022-05-06,RT1,20,30.0,66.67
19562,2022-05-06,RT1,18,30.0,60.0
19563,2022-05-06,RT1,15,30.0,50.0
17558,2022-05-06,RT1,9,19.0,47.37
16558,2022-05-06,RT1,10,19.0,52.63
17560,2022-05-06,RT1,18,40.0,45.0
19558,2022-05-06,RT1,18,40.0,45.0
19560,2022-05-06,RT1,17,26.0,65.38
17561,2022-05-06,RT1,16,26.0,61.54
16560,2022-05-06,RT1,19,34.0,55.88
16561,2022-05-06,RT1,12,18.0,66.67
16562,2022-05-06,RT1,14,31.0,45.16
16563,2022-05-06,RT1,23,41.0,56.1
17559,2022-05-06,RT1,19,32.0,59.38
17562,2022-05-06,RT1,8,20.0,40.0
17563,2022-05-06,RT1,14,25.0,56.0
18558,2022-05-06,RT1,7,15.0,46.67
18559,2022-05-06,RT1,18,42.0,42.86
18561,2022-05-06,RT1,23,33.0,69.7
18562,2022-05-06,RT1,24,38.0,63.16
18563,2022-05-06,RT1,12,27.0,44.44
19559,2022-05-06,RT1,14,24.0,58.33
19561,2022-05-06,RT1,20,36.0,55.56
17564,2022-05-06,RT1,7,16.0,43.75
19562,2022-05-06,RT2,18,23.0,78.26
18563,2022-05-06,RT2,15,29.0,51.72
17561,2022-05-06,RT2,20,36.0,55.56
17558,2022-05-06,RT2,29,50.0,58.0
16562,2022-05-06,RT2,24,43.0,55.81
16561,2022-05-06,RT2,14,24.0,58.33
16558,2022-05-06,RT2,15,22.0,68.18
19560,2022-05-06,RT2,22,38.0,57.89
16563,2022-05-06,RT2,27,38.0,71.05
16559,2022-05-06,RT2,23,41.0,56.1
19559,2022-05-06,RT2,20,41.0,48.78
19558,2022-05-06,RT2,14,39.0,35.9
17559,2022-05-06,RT2,25,39.0,64.1
16560,2022-05-06,RT2,18,34.0,52.94
18562,2022-05-06,RT2,26,34.0,76.47
18559,2022-05-06,RT2,20,44.0,45.45
17563,2022-05-06,RT2,28,44.0,63.64
17562,2022-05-06,RT2,12,30.0,40.0
18558,2022-05-06,RT2,17,30.0,56.67
17564,2022-05-06,RT2,18,40.0,45.0
18561,2022-05-06,RT2,23,40.0,57.5
18560,2022-05-06,RT2,24,40.0,60.0
17560,2022-05-06,RT2,22,45.0,48.89
19561,2022-05-06,RT2,24,45.0,53.33
19563,2022-05-06,RT2,23,45.0,51.11
19563,2022-05-06,RT3,14,29.0,48.28
19562,2022-05-06,RT3,20,29.0,68.97
19561,2022-05-06,RT3,13,29.0,44.83
18562,2022-05-06,RT3,21,29.0,72.41
17558,2022-05-06,RT3,12,27.0,44.44
17562,2022-05-06,RT3,10,27.0,37.04
19559,2022-05-06,RT3,13,27.0,48.15
16559,2022-05-06,RT3,20,32.0,62.5
16558,2022-05-06,RT3,5,8.0,62.5
18561,2022-05-06,RT3,17,25.0,68.0
16563,2022-05-06,RT3,15,20.0,75.0
17561,2022-05-06,RT3,13,19.0,68.42
19560,2022-05-06,RT3,13,19.0,68.42
18558,2022-05-06,RT3,14,26.0,53.85
18560,2022-05-06,RT3,14,24.0,58.33
16562,2022-05-06,RT3,9,18.0,50.0
18559,2022-05-06,RT3,9,23.0,39.13
17563,2022-05-06,RT3,10,16.0,62.5
19558,2022-05-06,RT3,10,21.0,47.62
17564,2022-05-06,RT3,10,24.0,41.67
16561,2022-05-06,RT3,12,21.0,57.14
17560,2022-05-06,RT3,12,25.0,48.0
18563,2022-05-06,RT3,12,23.0,52.17
16560,2022-05-06,RT3,11,20.0,55.0
17559,2022-05-06,RT3,11,16.0,68.75
17562,2022-05-06,RT4,2,6.0,33.33
19559,2022-05-06,RT4,2,3.0,66.67
16558,2022-05-06,RT4,2,3.0,66.67
16560,2022-05-06,RT4,4,7.0,57.14
18561,2022-05-06,RT4,4,9.0,44.44
17560,2022-05-06,RT4,5,13.0,38.46
16561,2022-05-06,RT4,6,10.0,60.0
